S300 Angle scan, bar, 3LS lens, cookies for lens, air gap for the prizm-MCP
beam_17253135327    4  2017    2017    2  6  50.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253135538    5  2017    2017    2  6  60.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253135758    6  2017    2017    2  6  70.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253140013    7  2017    2017    2  6  80.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253140220    8  2017    2017    2  6  90.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253140439    9  2017    2017    2  6  100.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253140658    10 2017    2017    2  6  110.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253140950    11 2017    2017    2  6  120.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253141258    12 2017    2017    2  6  130.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253141532    13 2017    2017    2  6  140.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253141820    14 2017    2017    2  6  150.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    

S330 Theta scan; phi=0; bar + grease + 3LC lens
beam_s330_20        0  2017    2017    1  6  20.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s330_25        1  2017    2017    1  6  25.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s330_30        2  2017    2017    1  6  30.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s330_35        3  2017    2017    1  6  35.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s330_40        4  2017    2017    1  6  40.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s330_45        5  2017    2017    1  6  45.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s330_50        6  2017    2017    1  6  50.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s330_55        7  2017    2017    1  6  55.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s330_60        8  2017    2017    1  6  60.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s330_65        9  2017    2017    1  6  65.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s330_70        10 2017    2017    1  6  70.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s330_75        11 2017    2017    1  6  75.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s330_80        12 2017    2017    1  6  80.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s330_85        13 2017    2017    1  6  85.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s330_90        14 2017    2017    1  6  90.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s330_95        15 2017    2017    1  6  95.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s330_100       16 2017    2017    1  6  100.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
