2016/10/08 20:39:48 endpoint: 0x2001, chain: 02, channel:  1 threshold: 0x81c5, uid: 3b0000050d74bb28
2016/10/08 20:39:48 endpoint: 0x2009, chain: 02, channel:  1 threshold: 0x852f, uid: 040000050d3e1a28
2016/10/08 20:39:48 endpoint: 0x2004, chain: 01, channel:  1 threshold: 0x847f, uid: e30000050d4b9c28
2016/10/08 20:39:48 endpoint: 0x2007, chain: 00, channel:  1 threshold: 0x8381, uid: a20000050e0cfa28
2016/10/08 20:39:48 endpoint: 0x200b, chain: 00, channel:  1 threshold: 0x84a1, uid: ae000004a47e6728
2016/10/08 20:40:06 endpoint: 0x2005, chain: 02, channel:  2 threshold: 0x82bd, uid: 6b0000050d4e0928
2016/10/08 20:40:06 endpoint: 0x2000, chain: 01, channel:  2 threshold: 0x82fc, uid: 9f0000050d38aa28
2016/10/08 20:40:06 endpoint: 0x2003, chain: 00, channel:  2 threshold: 0x837c, uid: 850000050d4acb28
2016/10/08 20:40:06 endpoint: 0x2008, chain: 01, channel:  2 threshold: 0x8245, uid: 740000050d351a28
2016/10/08 20:40:06 endpoint: 0x2007, chain: 00, channel:  2 threshold: 0x83ab, uid: a20000050e0cfa28
2016/10/08 20:40:06 endpoint: 0x2001, chain: 02, channel:  2 threshold: 0x81ea, uid: 3b0000050d74bb28
2016/10/08 20:40:06 endpoint: 0x2009, chain: 02, channel:  2 threshold: 0x84ad, uid: 040000050d3e1a28
2016/10/08 20:40:06 endpoint: 0x2004, chain: 01, channel:  2 threshold: 0x84a7, uid: e30000050d4b9c28
2016/10/08 20:40:06 endpoint: 0x200b, chain: 00, channel:  2 threshold: 0x84a9, uid: ae000004a47e6728
2016/10/08 20:40:20 endpoint: 0x2005, chain: 02, channel:  3 threshold: 0x830e, uid: 6b0000050d4e0928
2016/10/08 20:40:20 endpoint: 0x2000, chain: 01, channel:  3 threshold: 0x832c, uid: 9f0000050d38aa28
2016/10/08 20:40:20 endpoint: 0x2003, chain: 00, channel:  3 threshold: 0x8385, uid: 850000050d4acb28
2016/10/08 20:40:20 endpoint: 0x2008, chain: 01, channel:  3 threshold: 0x822f, uid: 740000050d351a28
2016/10/08 20:40:20 endpoint: 0x2007, chain: 00, channel:  3 threshold: 0x828c, uid: a20000050e0cfa28
2016/10/08 20:40:20 endpoint: 0x2001, chain: 02, channel:  3 threshold: 0x81ea, uid: 3b0000050d74bb28
2016/10/08 20:40:20 endpoint: 0x2009, chain: 02, channel:  3 threshold: 0x84b7, uid: 040000050d3e1a28
2016/10/08 20:40:20 endpoint: 0x2004, chain: 01, channel:  3 threshold: 0x84e0, uid: e30000050d4b9c28
2016/10/08 20:40:20 endpoint: 0x200b, chain: 00, channel:  3 threshold: 0x83ca, uid: ae000004a47e6728
2016/10/08 20:40:34 endpoint: 0x2005, chain: 02, channel:  4 threshold: 0x8347, uid: 6b0000050d4e0928
2016/10/08 20:40:34 endpoint: 0x2000, chain: 01, channel:  4 threshold: 0x819d, uid: 9f0000050d38aa28
2016/10/08 20:40:34 endpoint: 0x2003, chain: 00, channel:  4 threshold: 0x84e4, uid: 850000050d4acb28
2016/10/08 20:40:34 endpoint: 0x2008, chain: 01, channel:  4 threshold: 0x8399, uid: 740000050d351a28
2016/10/08 20:40:34 endpoint: 0x2004, chain: 01, channel:  4 threshold: 0x84ec, uid: e30000050d4b9c28
2016/10/08 20:40:34 endpoint: 0x2001, chain: 02, channel:  4 threshold: 0x8233, uid: 3b0000050d74bb28
2016/10/08 20:40:34 endpoint: 0x2009, chain: 02, channel:  4 threshold: 0x84bd, uid: 040000050d3e1a28
2016/10/08 20:40:34 endpoint: 0x2007, chain: 00, channel:  4 threshold: 0x837d, uid: a20000050e0cfa28
2016/10/08 20:40:34 endpoint: 0x200b, chain: 00, channel:  4 threshold: 0x84f2, uid: ae000004a47e6728
2016/10/08 20:40:48 endpoint: 0x2005, chain: 02, channel:  5 threshold: 0x82f3, uid: 6b0000050d4e0928
2016/10/08 20:40:48 endpoint: 0x2008, chain: 01, channel:  5 threshold: 0x82b5, uid: 740000050d351a28
2016/10/08 20:40:48 endpoint: 0x2000, chain: 01, channel:  5 threshold: 0x8360, uid: 9f0000050d38aa28
2016/10/08 20:40:48 endpoint: 0x2003, chain: 00, channel:  5 threshold: 0x8416, uid: 850000050d4acb28
2016/10/08 20:40:48 endpoint: 0x2001, chain: 02, channel:  5 threshold: 0x8199, uid: 3b0000050d74bb28
2016/10/08 20:40:48 endpoint: 0x2004, chain: 01, channel:  5 threshold: 0x83fc, uid: e30000050d4b9c28
2016/10/08 20:40:48 endpoint: 0x2009, chain: 02, channel:  5 threshold: 0x8585, uid: 040000050d3e1a28
2016/10/08 20:40:48 endpoint: 0x2007, chain: 00, channel:  5 threshold: 0x837d, uid: a20000050e0cfa28
2016/10/08 20:40:48 endpoint: 0x200b, chain: 00, channel:  5 threshold: 0x8449, uid: ae000004a47e6728
2016/10/08 20:41:02 endpoint: 0x2005, chain: 02, channel:  6 threshold: 0x82dd, uid: 6b0000050d4e0928
2016/10/08 20:41:02 endpoint: 0x2008, chain: 01, channel:  6 threshold: 0x8306, uid: 740000050d351a28
2016/10/08 20:41:02 endpoint: 0x2000, chain: 01, channel:  6 threshold: 0x8324, uid: 9f0000050d38aa28
2016/10/08 20:41:02 endpoint: 0x2003, chain: 00, channel:  6 threshold: 0x83ef, uid: 850000050d4acb28
2016/10/08 20:41:02 endpoint: 0x2001, chain: 02, channel:  6 threshold: 0x81fd, uid: 3b0000050d74bb28
2016/10/08 20:41:02 endpoint: 0x2009, chain: 02, channel:  6 threshold: 0x84ad, uid: 040000050d3e1a28
2016/10/08 20:41:02 endpoint: 0x2004, chain: 01, channel:  6 threshold: 0x845a, uid: e30000050d4b9c28
2016/10/08 20:41:02 endpoint: 0x2007, chain: 00, channel:  6 threshold: 0x83a7, uid: a20000050e0cfa28
2016/10/08 20:41:02 endpoint: 0x200b, chain: 00, channel:  6 threshold: 0x84e5, uid: ae000004a47e6728
2016/10/08 20:41:16 endpoint: 0x2005, chain: 02, channel:  7 threshold: 0x83f1, uid: 6b0000050d4e0928
2016/10/08 20:41:16 endpoint: 0x2008, chain: 01, channel:  7 threshold: 0x82ad, uid: 740000050d351a28
2016/10/08 20:41:16 endpoint: 0x2000, chain: 01, channel:  7 threshold: 0x8262, uid: 9f0000050d38aa28
2016/10/08 20:41:16 endpoint: 0x2003, chain: 00, channel:  7 threshold: 0x8401, uid: 850000050d4acb28
2016/10/08 20:41:16 endpoint: 0x2001, chain: 02, channel:  7 threshold: 0x815d, uid: 3b0000050d74bb28
2016/10/08 20:41:16 endpoint: 0x2009, chain: 02, channel:  7 threshold: 0x853d, uid: 040000050d3e1a28
2016/10/08 20:41:16 endpoint: 0x2004, chain: 01, channel:  7 threshold: 0x847f, uid: e30000050d4b9c28
2016/10/08 20:41:16 endpoint: 0x2007, chain: 00, channel:  7 threshold: 0x82cd, uid: a20000050e0cfa28
2016/10/08 20:41:16 endpoint: 0x200b, chain: 00, channel:  7 threshold: 0x84af, uid: ae000004a47e6728
2016/10/08 20:41:34 endpoint: 0x2005, chain: 02, channel:  8 threshold: 0x8373, uid: 6b0000050d4e0928
